xconcept1;concept2;size of concept1;size of concept2;confidence
российская валюта;российский рынок;25;25;0.9600
российская валюта;российский бюджет;25;30;0.9600
российская валюта;российская экономика;25;25;0.8400
российская валюта;аналитик компании;25;34;0.8000
российская валюта;украинское правительство;25;31;0.8400
российская валюта;аналитическое управление;25;38;0.8800
российская валюта;собственное средство;25;34;0.8800
российская валюта;российская власть;25;27;0.9600
российская валюта;Российская Федерация;25;31;1.0000
российская валюта;иностранная компания;25;39;0.8400
российская валюта;дополнительное средство;25;37;0.8800
российская валюта;российский банк;25;29;1.0000
российская валюта;российский производитель;25;36;1.0000
российская валюта;правительство;25;35;0.8000
российская валюта;официальный представитель;25;42;0.9600
российская валюта;российское законодательство;25;36;0.9600
российская валюта;российский бизнес;25;28;0.9600
российская валюта;страховая компания;25;36;0.8000
Московская область;компания;8;37;0.8750
Московская область;эксперт;8;26;1.0000
Московская область;аналитическое управление;8;38;0.8750
Московская область;иностранная компания;8;39;1.0000
Московская область;правительство;8;35;0.8750
Московская область;официальный представитель;8;42;1.0000
Московская область;страховая компания;8;36;1.0000
полная стоимость;компания;18;37;0.8889
полная стоимость;российское правительство;18;38;0.9444
полная стоимость;российская компания;18;38;0.9444
полная стоимость;управляющая компания;18;33;0.8889
полная стоимость;аналитик компании;18;34;0.9444
полная стоимость;украинское правительство;18;31;0.8333
полная стоимость;аналитическое управление;18;38;0.8889
полная стоимость;иностранная компания;18;39;0.9444
полная стоимость;кадастровая стоимость;18;18;1.0000
полная стоимость;дополнительное средство;18;37;0.8333
полная стоимость;российский производитель;18;36;0.8333
полная стоимость;крупная компания;18;30;0.8333
полная стоимость;правительство;18;35;0.8333
полная стоимость;официальный представитель;18;42;1.0000
полная стоимость;российское законодательство;18;36;0.9444
полная стоимость;страховая компания;18;36;0.9444
денежное средство;компания;18;37;0.8333
денежное средство;российское правительство;18;38;0.8889
денежное средство;российская компания;18;38;0.9444
денежное средство;аналитическое управление;18;38;1.0000
денежное средство;собственное средство;18;34;1.0000
денежное средство;Российская Федерация;18;31;0.8333
денежное средство;иностранная компания;18;39;0.8333
денежное средство;дополнительное средство;18;37;0.9444
денежное средство;российский производитель;18;36;0.8333
денежное средство;официальный представитель;18;42;1.0000
денежное средство;российское законодательство;18;36;0.8333
правоохранительный орган;российское правительство;24;38;0.8750
правоохранительный орган;российская компания;24;38;0.9167
правоохранительный орган;аналитическое управление;24;38;0.8750
правоохранительный орган;правительство РФ;24;33;0.8333
правоохранительный орган;иностранная компания;24;39;0.8750
правоохранительный орган;дополнительное средство;24;37;0.9583
правоохранительный орган;Следственный комитет;24;31;0.8750
правоохранительный орган;правительство;24;35;0.8750
правоохранительный орган;официальный представитель;24;42;0.9583
правоохранительный орган;российское законодательство;24;36;0.8333
правоохранительный орган;исполнительный директор;24;31;0.8750
российское правительство;компания;38;37;0.8421
российское правительство;российская компания;38;38;0.9211
российское правительство;аналитическое управление;38;38;0.8684
российское правительство;собственное средство;38;34;0.8158
российское правительство;правительство РФ;38;33;0.8158
российское правительство;Российская Федерация;38;31;0.8158
российское правительство;иностранная компания;38;39;0.8947
российское правительство;дополнительное средство;38;37;0.8947
российское правительство;российский производитель;38;36;0.8421
российское правительство;правительство;38;35;0.8421
российское правительство;официальный представитель;38;42;0.9474
российское правительство;российское законодательство;38;36;0.9474
российское правительство;страховая компания;38;36;0.8158
Минэкономики;компания;9;37;0.8889
Минэкономики;особая экономическая зона;9;15;0.8889
Минэкономики;мировая экономика;9;14;1.0000
Минэкономики;украинская экономика;9;15;0.8889
Минэкономики;региональный бюджет;9;23;0.8889
Минэкономики;экономическая ситуация;9;26;0.8889
Минэкономики;экономический рост;9;17;1.0000
Минэкономики;рост экономики;9;14;1.0000
Минэкономики;экономическая политика;9;18;1.0000
Минэкономики;аналитическое управление;9;38;1.0000
Минэкономики;национальная экономика;9;26;0.8889
Минэкономики;иностранная компания;9;39;1.0000
Минэкономики;Следственный комитет;9;31;0.8889
Минэкономики;российский производитель;9;36;0.8889
Минэкономики;официальный представитель;9;42;1.0000
Минэкономики;экономическое развитие;9;22;1.0000
Минэкономики;социально-экономическое развитие;9;22;0.8889
Минэкономики;экономическая санкция;9;18;0.8889
Минэкономики;исполнительный директор;9;31;0.8889
Минэкономики;страховая компания;9;36;0.8889
национальная валюта;российское правительство;24;38;0.8750
национальная валюта;российская компания;24;38;0.8333
национальная валюта;аналитическое управление;24;38;0.8333
национальная валюта;правительство РФ;24;33;0.8750
национальная валюта;национальная экономика;24;26;0.9167
национальная валюта;иностранная компания;24;39;0.8333
национальная валюта;дополнительное средство;24;37;0.8333
национальная валюта;российский производитель;24;36;0.9583
национальная валюта;правительство;24;35;0.8750
национальная валюта;официальный представитель;24;42;1.0000
национальная валюта;российское законодательство;24;36;0.8750
внешний рынок;компания;7;37;1.0000
внешний рынок;российский рубль;7;26;0.8571
внешний рынок;строительство;7;30;0.8571
внешний рынок;российская сторона;7;27;1.0000
внешний рынок;российский газ;7;27;1.0000
внешний рынок;российская валюта;7;25;0.8571
внешний рынок;российское правительство;7;38;1.0000
внешний рынок;российская компания;7;38;1.0000
внешний рынок;управляющая компания;7;33;0.8571
внешний рынок;российский рынок;7;25;1.0000
внешний рынок;российский бюджет;7;30;1.0000
внешний рынок;российская экономика;7;25;0.8571
внешний рынок;аналитик компании;7;34;0.8571
внешний рынок;украинское правительство;7;31;1.0000
внешний рынок;аналитическое управление;7;38;1.0000
внешний рынок;российская власть;7;27;1.0000
внешний рынок;правительство РФ;7;33;0.8571
внешний рынок;Российская Федерация;7;31;0.8571
внешний рынок;нефтяная компания;7;22;0.8571
внешний рынок;иностранная компания;7;39;1.0000
внешний рынок;российский банк;7;29;1.0000
внешний рынок;российский производитель;7;36;1.0000
внешний рынок;крупная компания;7;30;0.8571
внешний рынок;правительство;7;35;0.8571
внешний рынок;официальный представитель;7;42;1.0000
внешний рынок;российское законодательство;7;36;1.0000
внешний рынок;российский бизнес;7;28;0.8571
внешний рынок;страховая компания;7;36;1.0000
российская компания;компания;38;37;0.8947
российская компания;российское правительство;38;38;0.9211
российская компания;аналитическое управление;38;38;0.8421
российская компания;собственное средство;38;34;0.8158
российская компания;Российская Федерация;38;31;0.8158
российская компания;иностранная компания;38;39;0.8947
российская компания;дополнительное средство;38;37;0.8947
российская компания;российский производитель;38;36;0.8421
российская компания;правительство;38;35;0.8158
российская компания;официальный представитель;38;42;0.9737
российская компания;российское законодательство;38;36;0.8684
российская компания;страховая компания;38;36;0.8684
темп роста;правоохранительный орган;8;24;0.8750
темп роста;аналитическое управление;8;38;0.8750
темп роста;дополнительное средство;8;37;0.8750
темп роста;Следственный комитет;8;31;1.0000
темп роста;российский производитель;8;36;1.0000
темп роста;официальный представитель;8;42;1.0000
развитая страна;строительство;6;30;0.8333
развитая страна;общий объем;6;16;0.8333
развитая страна;российское правительство;6;38;1.0000
развитая страна;национальная валюта;6;24;0.8333
развитая страна;российская компания;6;38;0.8333
развитая страна;окончательное решение;6;26;0.8333
развитая страна;экономическая ситуация;6;26;0.8333
развитая страна;российский бюджет;6;30;0.8333
развитая страна;заместитель министра;6;20;0.8333
развитая страна;региональная власть;6;19;0.8333
развитая страна;аналитическое управление;6;38;1.0000
развитая страна;министр;6;19;0.8333
развитая страна;правительство РФ;6;33;0.8333
развитая страна;Российская Федерация;6;31;0.8333
развитая страна;иностранная компания;6;39;0.8333
развитая страна;дополнительное средство;6;37;1.0000
развитая страна;Следственный комитет;6;31;0.8333
развитая страна;национальная платежная система;6;19;0.8333
развитая страна;накопительная часть;6;11;0.8333
развитая страна;промышленное производство;6;23;0.8333
развитая страна;российский производитель;6;36;0.8333
развитая страна;правительство;6;35;0.8333
развитая страна;официальный представитель;6;42;1.0000
развитая страна;экономическое развитие;6;22;0.8333
развитая страна;значительная часть;6;18;0.8333
развитая страна;экономическая санкция;6;18;0.8333
развитая страна;российское законодательство;6;36;1.0000
развитая страна;исполнительная власть;6;25;1.0000
развитая страна;исполнительный директор;6;31;1.0000
развитая страна;российский бизнес;6;28;0.8333
развитая страна;течение года;6;22;0.8333
реальный сектор;российское правительство;13;38;1.0000
реальный сектор;российская компания;13;38;0.9231
реальный сектор;аналитическое управление;13;38;0.8462
реальный сектор;собственное средство;13;34;0.8462
реальный сектор;правительство РФ;13;33;0.8462
реальный сектор;иностранная компания;13;39;0.9231
реальный сектор;дополнительное средство;13;37;0.8462
реальный сектор;Следственный комитет;13;31;0.8462
реальный сектор;российский производитель;13;36;0.9231
реальный сектор;правительство;13;35;0.8462
реальный сектор;официальный представитель;13;42;1.0000
реальный сектор;российское законодательство;13;36;0.9231
реальный сектор;исполнительный директор;13;31;0.9231
пояснительная записка;российское правительство;21;38;0.8571
пояснительная записка;российская компания;21;38;0.8095
пояснительная записка;правительство РФ;21;33;0.8095
пояснительная записка;иностранная компания;21;39;0.8571
пояснительная записка;дополнительное средство;21;37;0.9048
пояснительная записка;российский производитель;21;36;0.8095
пояснительная записка;правительство;21;35;0.8571
пояснительная записка;официальный представитель;21;42;0.9524
пояснительная записка;российское законодательство;21;36;0.8095
краткосрочная перспектива;российское правительство;8;38;0.8750
краткосрочная перспектива;российская компания;8;38;0.8750
краткосрочная перспектива;долгосрочная перспектива;8;8;0.8750
краткосрочная перспектива;среднесрочная перспектива;8;7;0.8750
краткосрочная перспектива;дополнительное средство;8;37;1.0000
краткосрочная перспектива;российский производитель;8;36;1.0000
краткосрочная перспектива;официальный представитель;8;42;1.0000
краткосрочная перспектива;российский бизнес;8;28;0.8750
результат;российское правительство;12;38;0.8333
результат;российская компания;12;38;0.9167
результат;аналитик компании;12;34;0.8333
результат;аналитическое управление;12;38;0.8333
результат;собственное средство;12;34;0.9167
результат;Российская Федерация;12;31;0.8333
результат;дополнительное средство;12;37;0.9167
результат;официальный представитель;12;42;1.0000
результат;российское законодательство;12;36;0.8333
частный сектор;строительство;7;30;1.0000
частный сектор;правоохранительный орган;7;24;0.8571
частный сектор;российское правительство;7;38;1.0000
частный сектор;российская компания;7;38;0.8571
частный сектор;экономическая ситуация;7;26;1.0000
частный сектор;генеральный директор;7;26;0.8571
частный сектор;аналитическое управление;7;38;1.0000
частный сектор;правительство РФ;7;33;1.0000
частный сектор;Российская Федерация;7;31;0.8571
частный сектор;иностранная компания;7;39;1.0000
частный сектор;дополнительное средство;7;37;0.8571
частный сектор;Следственный комитет;7;31;1.0000
частный сектор;российский банк;7;29;0.8571
частный сектор;российский производитель;7;36;0.8571
частный сектор;правительство;7;35;1.0000
частный сектор;официальный представитель;7;42;1.0000
частный сектор;российское законодательство;7;36;1.0000
частный сектор;исполнительная власть;7;25;0.8571
частный сектор;исполнительный директор;7;31;1.0000
частный сектор;российский бизнес;7;28;0.8571
американская компания;компания;23;37;0.9565
американская компания;российское правительство;23;38;0.8261
американская компания;российская компания;23;38;0.9130
американская компания;управляющая компания;23;33;0.9130
американская компания;аналитик компании;23;34;0.9130
американская компания;аналитическое управление;23;38;0.8696
американская компания;иностранная компания;23;39;0.9565
американская компания;российский производитель;23;36;0.9130
американская компания;крупная компания;23;30;0.8696
американская компания;официальный представитель;23;42;0.9565
американская компания;страховая компания;23;36;0.9130
иностранный инвестор;российское правительство;20;38;0.8500
иностранный инвестор;российская компания;20;38;0.8000
иностранный инвестор;аналитик компании;20;34;0.8000
иностранный инвестор;аналитическое управление;20;38;0.9500
иностранный инвестор;иностранная компания;20;39;0.9000
иностранный инвестор;российский производитель;20;36;0.9000
иностранный инвестор;официальный представитель;20;42;1.0000
иностранный инвестор;российское законодательство;20;36;0.8500
иностранный инвестор;страховая компания;20;36;0.8000
первый зампред;российское правительство;10;38;0.9000
первый зампред;российская компания;10;38;0.9000
первый зампред;уголовная ответственность;10;29;0.8000
первый зампред;интеллектуальная собственность;10;29;0.8000
первый зампред;аналитик компании;10;34;0.8000
первый зампред;аналитическое управление;10;38;0.9000
первый зампред;собственное средство;10;34;1.0000
первый зампред;правительство РФ;10;33;0.9000
первый зампред;дополнительное средство;10;37;1.0000
первый зампред;Следственный комитет;10;31;0.9000
первый зампред;российский производитель;10;36;0.9000
первый зампред;правительство;10;35;0.9000
первый зампред;официальный представитель;10;42;1.0000
первый зампред;российское законодательство;10;36;0.8000
первый зампред;Общественная палата;10;20;0.8000
первый зампред;исполнительный директор;10;31;0.8000
особая экономическая зона;компания;15;37;0.9333
особая экономическая зона;российское правительство;15;38;0.9333
особая экономическая зона;российская компания;15;38;0.8667
особая экономическая зона;мировая экономика;15;14;0.8667
особая экономическая зона;управляющая компания;15;33;0.8667
особая экономическая зона;экономическая ситуация;15;26;1.0000
особая экономическая зона;экономический рост;15;17;1.0000
особая экономическая зона;аналитик компании;15;34;0.8667
особая экономическая зона;рост экономики;15;14;0.8667
особая экономическая зона;украинское правительство;15;31;0.8000
особая экономическая зона;экономическая политика;15;18;1.0000
особая экономическая зона;аналитическое управление;15;38;0.9333
особая экономическая зона;собственное средство;15;34;0.8000
особая экономическая зона;правительство РФ;15;33;0.8000
особая экономическая зона;национальная экономика;15;26;0.8667
особая экономическая зона;иностранная компания;15;39;1.0000
особая экономическая зона;дополнительное средство;15;37;0.8667
особая экономическая зона;Следственный комитет;15;31;0.8000
особая экономическая зона;российский производитель;15;36;0.8667
особая экономическая зона;правительство;15;35;0.8667
особая экономическая зона;официальный представитель;15;42;1.0000
особая экономическая зона;экономическое развитие;15;22;1.0000
особая экономическая зона;социально-экономическое развитие;15;22;0.9333
особая экономическая зона;экономическая санкция;15;18;1.0000
особая экономическая зона;российское законодательство;15;36;0.9333
особая экономическая зона;исполнительный директор;15;31;0.8000
особая экономическая зона;страховая компания;15;36;0.9333
независимый эксперт;строительство;7;30;0.8571
независимый эксперт;российское правительство;7;38;0.8571
независимый эксперт;окончательное решение;7;26;0.8571
независимый эксперт;уголовная ответственность;7;29;0.8571
независимый эксперт;угольная промышленность;7;13;1.0000
независимый эксперт;экономическая ситуация;7;26;0.8571
независимый эксперт;экономический рост;7;17;0.8571
независимый эксперт;рост экономики;7;14;0.8571
независимый эксперт;украинское правительство;7;31;0.8571
независимый эксперт;экономическая политика;7;18;0.8571
независимый эксперт;аналитическое управление;7;38;0.8571
независимый эксперт;правительство РФ;7;33;0.8571
независимый эксперт;национальная экономика;7;26;0.8571
независимый эксперт;иностранная компания;7;39;0.8571
независимый эксперт;дополнительное средство;7;37;0.8571
независимый эксперт;проект постановления;7;26;0.8571
независимый эксперт;правительство;7;35;0.8571
независимый эксперт;официальный представитель;7;42;1.0000
независимый эксперт;экономическое развитие;7;22;0.8571
независимый эксперт;социально-экономическое развитие;7;22;1.0000
независимый эксперт;российское законодательство;7;36;0.8571
независимый эксперт;исполнительный директор;7;31;0.8571
кредитный рейтинг;российское правительство;8;38;0.8750
кредитный рейтинг;российская компания;8;38;0.8750
кредитный рейтинг;уголовная ответственность;8;29;0.8750
кредитный рейтинг;аналитическое управление;8;38;0.8750
кредитный рейтинг;собственное средство;8;34;1.0000
кредитный рейтинг;правительство РФ;8;33;0.8750
кредитный рейтинг;дополнительное средство;8;37;1.0000
кредитный рейтинг;российский производитель;8;36;0.8750
кредитный рейтинг;правительство;8;35;0.8750
кредитный рейтинг;официальный представитель;8;42;1.0000
кредитный рейтинг;финансовая система;8;15;0.8750
Налоговый кодекс;компания;6;37;1.0000
Налоговый кодекс;строительство;6;30;0.8333
Налоговый кодекс;российское правительство;6;38;1.0000
Налоговый кодекс;российская компания;6;38;0.8333
Налоговый кодекс;уголовная ответственность;6;29;0.8333
Налоговый кодекс;управляющая компания;6;33;1.0000
Налоговый кодекс;законопроект;6;20;0.8333
Налоговый кодекс;аналитик компании;6;34;1.0000
Налоговый кодекс;украинское правительство;6;31;0.8333
Налоговый кодекс;заместитель министра;6;20;0.8333
Налоговый кодекс;информация Известий"";6;21;0.8333
Налоговый кодекс;аналитическое управление;6;38;1.0000
Налоговый кодекс;правительство РФ;6;33;0.8333
Налоговый кодекс;иностранная компания;6;39;1.0000
Налоговый кодекс;дополнительное средство;6;37;0.8333
Налоговый кодекс;крупная компания;6;30;0.8333
Налоговый кодекс;федеральный закон;6;24;0.8333
Налоговый кодекс;правительство;6;35;1.0000
Налоговый кодекс;официальный представитель;6;42;0.8333
Налоговый кодекс;экономическое развитие;6;22;0.8333
Налоговый кодекс;социально-экономическое развитие;6;22;0.8333
Налоговый кодекс;новый проект;6;15;0.8333
Налоговый кодекс;российское законодательство;6;36;1.0000
Налоговый кодекс;исполнительная власть;6;25;0.8333
Налоговый кодекс;исполнительный директор;6;31;0.8333
Налоговый кодекс;страховая компания;6;36;0.8333
стратегический анализ;компания;6;37;0.8333
стратегический анализ;строительство;6;30;1.0000
стратегический анализ;российское правительство;6;38;0.8333
стратегический анализ;российская компания;6;38;0.8333
стратегический анализ;окончательное решение;6;26;0.8333
стратегический анализ;интеллектуальная собственность;6;29;1.0000
стратегический анализ;аналитик компании;6;34;0.8333
стратегический анализ;украинское правительство;6;31;0.8333
стратегический анализ;аналитическое управление;6;38;1.0000
стратегический анализ;собственное средство;6;34;1.0000
стратегический анализ;правительство РФ;6;33;1.0000
стратегический анализ;национальная экономика;6;26;0.8333
стратегический анализ;иностранная компания;6;39;0.8333
стратегический анализ;дополнительное средство;6;37;1.0000
стратегический анализ;Следственный комитет;6;31;1.0000
стратегический анализ;проект постановления;6;26;0.8333
стратегический анализ;правительство;6;35;1.0000
стратегический анализ;официальный представитель;6;42;1.0000
стратегический анализ;российское законодательство;6;36;0.8333
стратегический анализ;течение года;6;22;0.8333
стратегический анализ;страховая компания;6;36;0.8333
мировая экономика;компания;14;37;0.9286
мировая экономика;российское правительство;14;38;0.8571
мировая экономика;особая экономическая зона;14;15;0.9286
мировая экономика;управляющая компания;14;33;0.8571
мировая экономика;экономическая ситуация;14;26;0.9286
мировая экономика;экономический рост;14;17;1.0000
мировая экономика;аналитик компании;14;34;0.8571
мировая экономика;рост экономики;14;14;0.9286
мировая экономика;экономическая политика;14;18;1.0000
мировая экономика;аналитическое управление;14;38;0.9286
мировая экономика;национальная экономика;14;26;0.8571
мировая экономика;иностранная компания;14;39;1.0000
мировая экономика;Следственный комитет;14;31;0.8571
мировая экономика;российский производитель;14;36;0.8571
мировая экономика;официальный представитель;14;42;1.0000
мировая экономика;экономическое развитие;14;22;1.0000
мировая экономика;социально-экономическое развитие;14;22;0.9286
мировая экономика;экономическая санкция;14;18;0.9286
мировая экономика;российское законодательство;14;36;0.8571
мировая экономика;страховая компания;14;36;0.9286
окончательное решение;компания;26;37;0.8077
окончательное решение;российское правительство;26;38;0.9231
окончательное решение;российская компания;26;38;0.9231
окончательное решение;аналитическое управление;26;38;0.9231
окончательное решение;правительство РФ;26;33;0.8077
окончательное решение;Российская Федерация;26;31;0.8077
окончательное решение;иностранная компания;26;39;0.8846
окончательное решение;дополнительное средство;26;37;0.8462
окончательное решение;российский производитель;26;36;0.8462
окончательное решение;правительство;26;35;0.8462
окончательное решение;официальный представитель;26;42;0.9615
окончательное решение;российское законодательство;26;36;0.9231
окончательное решение;страховая компания;26;36;0.8077
украинская экономика;российский рубль;15;26;0.8000
украинская экономика;российская сторона;15;27;0.8667
украинская экономика;российский газ;15;27;0.8667
украинская экономика;российское правительство;15;38;0.9333
украинская экономика;российская компания;15;38;0.8667
украинская экономика;экономическая ситуация;15;26;0.8000
украинская экономика;российский рынок;15;25;0.8000
украинская экономика;российский бюджет;15;30;0.8667
украинская экономика;российская экономика;15;25;0.9333
украинская экономика;украинское правительство;15;31;0.8667
украинская экономика;аналитическое управление;15;38;0.9333
украинская экономика;российская власть;15;27;0.8667
украинская экономика;правительство РФ;15;33;0.8000
украинская экономика;Российская Федерация;15;31;0.8000
украинская экономика;иностранная компания;15;39;0.8667
украинская экономика;дополнительное средство;15;37;0.8667
украинская экономика;российский банк;15;29;0.8667
украинская экономика;российский производитель;15;36;0.9333
украинская экономика;правительство;15;35;0.8000
украинская экономика;официальный представитель;15;42;1.0000
украинская экономика;российское законодательство;15;36;0.9333
украинская экономика;российский бизнес;15;28;0.9333
региональный бюджет;компания;23;37;0.8261
региональный бюджет;российское правительство;23;38;0.8696
региональный бюджет;российская компания;23;38;0.8261
региональный бюджет;аналитическое управление;23;38;0.8696
региональный бюджет;правительство РФ;23;33;0.8261
региональный бюджет;иностранная компания;23;39;0.9130
региональный бюджет;российский производитель;23;36;0.9130
региональный бюджет;правительство;23;35;0.8261
региональный бюджет;официальный представитель;23;42;0.9565
региональный бюджет;российское законодательство;23;36;0.8696
региональный бюджет;страховая компания;23;36;0.8696
долгосрочная перспектива;краткосрочная перспектива;8;8;0.8750
долгосрочная перспектива;среднесрочная перспектива;8;7;0.8750
долгосрочная перспектива;правительство РФ;8;33;0.8750
долгосрочная перспектива;дополнительное средство;8;37;1.0000
долгосрочная перспектива;российский производитель;8;36;1.0000
долгосрочная перспектива;правительство;8;35;0.8750
долгосрочная перспектива;официальный представитель;8;42;1.0000
уголовная ответственность;российское правительство;29;38;0.8966
уголовная ответственность;российская компания;29;38;0.8621
уголовная ответственность;аналитическое управление;29;38;0.8621
уголовная ответственность;иностранная компания;29;39;0.8621
уголовная ответственность;дополнительное средство;29;37;0.8621
уголовная ответственность;российский производитель;29;36;0.8276
уголовная ответственность;правительство;29;35;0.8621
уголовная ответственность;официальный представитель;29;42;0.9310
уголовная ответственность;российское законодательство;29;36;0.8621
последнее время;российский рубль;6;26;1.0000
последнее время;строительство;6;30;1.0000
последнее время;российская сторона;6;27;1.0000
последнее время;международная платежная система;6;16;0.8333
последнее время;российский газ;6;27;1.0000
последнее время;российская валюта;6;25;1.0000
последнее время;российское правительство;6;38;1.0000
последнее время;национальная валюта;6;24;0.8333
последнее время;российская компания;6;38;1.0000
последнее время;иностранный инвестор;6;20;0.8333
последнее время;украинская экономика;6;15;0.8333
последнее время;региональный бюджет;6;23;0.8333
последнее время;настоящее время;6;12;0.8333
последнее время;начало года;6;19;0.8333
последнее время;российский рынок;6;25;1.0000
последнее время;российский бюджет;6;30;1.0000
последнее время;российская экономика;6;25;1.0000
последнее время;украинское правительство;6;31;1.0000
последнее время;аналитическое управление;6;38;0.8333
последнее время;российская власть;6;27;1.0000
последнее время;правительство РФ;6;33;1.0000
последнее время;Российская Федерация;6;31;1.0000
последнее время;иностранная компания;6;39;0.8333
последнее время;санкция;6;11;0.8333
последнее время;российский банк;6;29;1.0000
последнее время;российский производитель;6;36;1.0000
последнее время;правительство;6;35;1.0000
последнее время;официальный представитель;6;42;1.0000
последнее время;российское законодательство;6;36;1.0000
последнее время;российский бизнес;6;28;1.0000
последнее время;Международный валютный фонд;6;14;0.8333
естественная монополия;строительство;12;30;0.8333
естественная монополия;российское правительство;12;38;0.9167
естественная монополия;российская компания;12;38;0.8333
естественная монополия;уголовная ответственность;12;29;0.8333
естественная монополия;интеллектуальная собственность;12;29;0.9167
естественная монополия;эксперт;12;26;0.8333
естественная монополия;аналитическое управление;12;38;0.8333
естественная монополия;собственное средство;12;34;0.9167
